2019-02-11 01:17:39.353172
        [5.568, 11.432, 0.7267, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.726, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7222, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7184, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7147, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7109, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7071, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7033, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6996, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6958, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.692, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6871, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6822, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6773, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6724, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.6676, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.6627, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.6578, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.6529, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.648, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.6422, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6364, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.6307, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.6249, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.6191, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.6133, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.6076, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6018, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.596, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.5896, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.5831, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.5767, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5702, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.5638, 0.01, 0.001, 0.001, 100],
        [5.582, 11.432, 0.5573, 0.01, 0.001, 0.001, 100],
        [5.582, 11.432, 0.5509, 0.01, 0.001, 0.001, 100],
        [5.583, 11.432, 0.5444, 0.01, 0.001, 0.001, 100],
        [5.585, 11.432, 0.538, 0.01, 0.001, 0.001, 100],
        [5.586, 11.432, 0.5309, 0.01, 0.001, 0.001, 100],
        [5.587, 11.432, 0.5238, 0.01, 0.001, 0.001, 100],
