2019-02-09 15:57:23.156659
        [5.607, 11.432, 0.308, 0.01, 0.001, 0.001, 100],
        [5.606, 11.432, 0.3149, 0.01, 0.001, 0.001, 100],
        [5.604, 11.432, 0.3218, 0.01, 0.001, 0.001, 100],
        [5.603, 11.432, 0.3287, 0.01, 0.001, 0.001, 100],
        [5.601, 11.432, 0.3356, 0.01, 0.001, 0.001, 100],
        [5.599, 11.432, 0.3424, 0.01, 0.001, 0.001, 100],
        [5.598, 11.432, 0.3493, 0.01, 0.001, 0.001, 100],
        [5.596, 11.432, 0.3562, 0.01, 0.001, 0.001, 100],
        [5.594, 11.432, 0.3631, 0.01, 0.001, 0.001, 100],
        [5.593, 11.432, 0.37, 0.01, 0.001, 0.001, 100],
        [5.588, 11.432, 0.3851, 0.01, 0.001, 0.001, 100],
        [5.583, 11.432, 0.4002, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.4153, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.4304, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.4456, 0.01, 0.001, 0.001, 100],
        [5.564, 11.432, 0.4607, 0.01, 0.001, 0.001, 100],
        [5.560, 11.432, 0.4758, 0.01, 0.001, 0.001, 100],
        [5.555, 11.432, 0.4909, 0.01, 0.001, 0.001, 100],
        [5.551, 11.432, 0.506, 0.01, 0.001, 0.001, 100],
        [5.553, 11.432, 0.5116, 0.01, 0.001, 0.001, 100],
        [5.555, 11.432, 0.5171, 0.01, 0.001, 0.001, 100],
        [5.557, 11.432, 0.5227, 0.01, 0.001, 0.001, 100],
        [5.559, 11.432, 0.5282, 0.01, 0.001, 0.001, 100],
        [5.561, 11.432, 0.5338, 0.01, 0.001, 0.001, 100],
        [5.563, 11.432, 0.5393, 0.01, 0.001, 0.001, 100],
        [5.565, 11.432, 0.5449, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.5504, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.556, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.5602, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.5644, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.5687, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.5729, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.5771, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.5813, 0.01, 0.001, 0.001, 100],
        [5.578, 11.432, 0.5856, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.5898, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.594, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.6007, 0.01, 0.001, 0.001, 100],
        [5.580, 11.432, 0.6073, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.614, 0.01, 0.001, 0.001, 100],
        [5.579, 11.432, 0.6207, 0.01, 0.001, 0.001, 100],
        [5.578, 11.432, 0.6273, 0.01, 0.001, 0.001, 100],
        [5.578, 11.432, 0.634, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.6407, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.6473, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.654, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6602, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6664, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6727, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6789, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6851, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6913, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6976, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.7038, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.71, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.7124, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.7149, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7173, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.7198, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.7222, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.7247, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7271, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7296, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.732, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7322, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7324, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7327, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7329, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7331, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7333, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7336, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7338, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.566, 11.432, 0.734, 0.01, 0.001, 0.001, 100],
        [5.567, 11.432, 0.7329, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7318, 0.01, 0.001, 0.001, 100],
        [5.568, 11.432, 0.7307, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7296, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.7284, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.7273, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.7262, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.7251, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.724, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7204, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7169, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7133, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7098, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7062, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.7027, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.6991, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.6956, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.692, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.6864, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.6809, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.6753, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.6698, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.6642, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6587, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6531, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.6476, 0.01, 0.001, 0.001, 100],
        [5.569, 11.432, 0.642, 0.01, 0.001, 0.001, 100],
        [5.570, 11.432, 0.6376, 0.01, 0.001, 0.001, 100],
        [5.571, 11.432, 0.6331, 0.01, 0.001, 0.001, 100],
        [5.572, 11.432, 0.6287, 0.01, 0.001, 0.001, 100],
        [5.573, 11.432, 0.6242, 0.01, 0.001, 0.001, 100],
        [5.574, 11.432, 0.6198, 0.01, 0.001, 0.001, 100],
        [5.575, 11.432, 0.6153, 0.01, 0.001, 0.001, 100],
        [5.576, 11.432, 0.6109, 0.01, 0.001, 0.001, 100],
        [5.577, 11.432, 0.6064, 0.01, 0.001, 0.001, 100],
