2021-06-18 18:08:44.385376
        [2.840, 1.548, 0.89, 0.14, 0.002, 0.002, 50],
        [2.838, 1.548, 0.9, 0.14, 0.002, 0.002, 50],
        [2.836, 1.548, 0.908, 0.14, 0.002, 0.002, 50],
        [2.834, 1.548, 0.918, 0.14, 0.002, 0.002, 50],
        [2.831, 1.548, 0.928, 0.14, 0.002, 0.002, 50],
        [2.828, 1.548, 0.886, 0.14, 0.002, 0.002, 50],
        [2.825, 1.548, 0.876, 0.14, 0.002, 0.002, 50],
        [2.823, 1.548, 0.878, 0.14, 0.002, 0.002, 50],
        [2.820, 1.548, 0.878, 0.14, 0.002, 0.002, 50],
        [2.818, 1.548, 0.88, 0.14, 0.002, 0.002, 50],
        [2.813, 1.548, 0.842, 0.14, 0.002, 0.002, 50],
        [2.809, 1.548, 0.812, 0.14, 0.002, 0.002, 50],
        [2.806, 1.548, 0.804, 0.14, 0.002, 0.002, 50],
        [2.803, 1.548, 0.796, 0.14, 0.002, 0.002, 50],
        [2.800, 1.548, 0.79, 0.14, 0.002, 0.002, 50],
        [2.800, 1.548, 0.764, 0.14, 0.002, 0.002, 50],
        [2.802, 1.548, 0.728, 0.14, 0.002, 0.002, 50],
        [2.800, 1.548, 0.714, 0.14, 0.002, 0.002, 50],
        [2.798, 1.548, 0.7, 0.14, 0.002, 0.002, 50],
        [2.797, 1.548, 0.686, 0.14, 0.002, 0.002, 50],
        [2.795, 1.548, 0.666, 0.14, 0.002, 0.002, 50],
        [2.796, 1.548, 0.616, 0.14, 0.002, 0.002, 50],
        [2.795, 1.548, 0.596, 0.14, 0.002, 0.002, 50],
        [2.794, 1.548, 0.576, 0.14, 0.002, 0.002, 50],
        [2.792, 1.548, 0.558, 0.14, 0.002, 0.002, 50],
        [2.791, 1.548, 0.54, 0.14, 0.002, 0.002, 50],
        [2.798, 1.548, 0.472, 0.14, 0.002, 0.002, 50],
        [2.798, 1.548, 0.448, 0.14, 0.002, 0.002, 50],
        [2.798, 1.548, 0.422, 0.14, 0.002, 0.002, 50],
        [2.797, 1.548, 0.396, 0.14, 0.002, 0.002, 50],
        [2.797, 1.548, 0.37, 0.14, 0.002, 0.002, 50],
        [2.813, 1.548, 0.32, 0.14, 0.002, 0.002, 50],
        [2.819, 1.548, 0.284, 0.14, 0.002, 0.002, 50],
        [2.821, 1.548, 0.254, 0.14, 0.002, 0.002, 50],
        [2.824, 1.548, 0.224, 0.14, 0.002, 0.002, 50],
        [2.826, 1.548, 0.196, 0.14, 0.002, 0.002, 50],
        [2.693, 1.548, 1.842, 0.14, 0.002, 0.002, 50],
